Codigos,NOMBRE,TELA,Color,PRECIO EN USD,PRECIO EN $,,,
BPORT,Barral,Portobello,-,19," $19,052.25",,,
BVS,Barral,Voile Suizo,-,17," $17,046.75",,,
BGBAM,Barral,Gasa Bamboo,-,24," $24,066.00",,,
BVRV,Barral,Voile Rustico Varese,-,26," $26,071.50",,,
BPT,Barral,Pana Touch,-,42," $42,115.50",,,
BLOC,Barral,Lola Crush,-,20," $20,055.00",,,
BAME,Barral,Amelie,-,31," $31,085.25",,,
BCHA,Barral,Charo,-,44," $44,121.00",,,
BLEON,Barral,Leonor,-,30," $30,082.50",,,
BMEL,Barral,Melanie,-,49," $49,134.75",,,
BLAR,Barral,Larisa,-,17," $17,046.75",,,
BVOH,Barral,Voile de hilo,-,15," $15,041.25",,,
VPA,Visillo,Pañalera,-,13," $13,035.75",,,
VME,Visillo,Melody,-,23," $23,063.25",,,
VJU,Visillo,Juliette,-,28," $28,077.00",,,
VLI,Visillo,Licia,-,16," $16,044.00",,,
VLO,Visillo,Lola,-,15.5," $15,542.63",,,
VTU,Visillo,Tussor,-,24," $24,066.00",,,
VPORT,Visillo,Portobello,-,19," $19,052.25",,,
VVS,Visillo,Voile Suizo,-,17," $17,046.75",,,
VGBAM,Visillo,Gasa Bamboo,-,24," $24,066.00",,,
VVRV,Visillo,Voile Rustico Varese,-,26," $26,071.50",,,
VPT,Visillo,Pana Touch,-,42," $42,115.50",,,
VLOC,Visillo,Lola Crush,-,20," $20,055.00",,,
VAME,Visillo,Amelie,-,31," $31,085.25",,,
VCHA,Visillo,Charo,-,44," $44,121.00",,,
VLEON,Visillo,Leonor,-,30," $30,082.50",,,
VMEL,Visillo,Melanie,-,49," $49,134.75",,,
VLAR,Visillo,Larisa,-,17," $17,046.75",,,
VVOH,Visillo,Voile de hilo,-,15," $15,041.25",,,
VBO01,Visillo,Blackout,Blanco,0.00, $0.00,,,
VBO03,Visillo,Blackout,Ivory,0.00, $0.00,,,
VBO04,Visillo,Blackout,Gris,0.00, $0.00,,,
VSS01,Visillo,Sunscreen,Blanco blanco,0.00, $0.00,,,
VSS02,Visillo,Sunscreen,Blanco beige,0.00, $0.00,,,
VSS03,Visillo,Sunscreen,Blanco gris,0.00, $0.00,,,
VSS04,Visillo,Sunscreen,Encargo,0.00, $0.00,,,
VSS05,Visillo,Sunscreen,Encargo,0.00, $0.00,,,
VSS06,Visillo,Sunscreen,Encargo,0.00, $0.00,,,
VSS07,Visillo,Sunscreen,Encargo,0.00, $0.00,,,
VSS08,Visillo,Sunscreen,Encargo,0.00, $0.00,,,
VSB12,Visillo,Southbeach,SB12,0.00, $0.00,,,
VSB15,Visillo,Southbeach,SB15,0.00, $0.00,,,
VSB19,Visillo,Southbeach,SB19,0.00, $0.00,,,
VDBO01,Visillo,Blackout,Blanco,0.00, $0.00,,,
VDBO03,Visillo,Blackout,Ivory,0.00, $0.00,,,
VDBO04,Visillo,Blackout,Gris,0.00, $0.00,,,
VDSS01,Visillo,Sunscreen,Blanco blanco,0.00, $0.00,,,
VDSS02,Visillo,Sunscreen,Blanco beige,0.00, $0.00,,,
VDSS03,Visillo,Sunscreen,Blanco gris,0.00, $0.00,,,
VDSS04,Visillo,Sunscreen,Encargo,0.00, $0.00,,,
VDSS05,Visillo,Sunscreen,Encargo,0.00, $0.00,,,
VDSS06,Visillo,Sunscreen,Encargo,0.00, $0.00,,,
VDSS07,Visillo,Sunscreen,Encargo,0.00, $0.00,,,
VDSS08,Visillo,Sunscreen,Encargo,0.00, $0.00,,,
VDSB12,Visillo,Southbeach,SB12,0.00, $0.00,,,
VDSB15,Visillo,Southbeach,SB15,0.00, $0.00,,,
VDSB19,Visillo,Southbeach,SB19,0.00, $0.00,,,
VDPA,Visillo Doble,Pañalera,-,13," $13,035.75",,,
VDME,Visillo Doble,Melody,-,23," $23,063.25",,,
VDJU,Visillo Doble,Juliette,-,28," $28,077.00",,,
VDLI,Visillo Doble,Licia,-,16," $16,044.00",,,
VDLO,Visillo Doble,Lola,-,15.5," $15,542.63",,,
VDTU,Visillo,Tussor,-,24," $24,066.00",,,
VDPORT,Visillo,Portobello,-,19," $19,052.25",,,
VDVS,Visillo,Voile Suizo,-,17," $17,046.75",,,
VDGBAM,Visillo,Gasa Bamboo,-,24," $24,066.00",,,
VDVRV,Visillo,Voile Rustico Varese,-,26," $26,071.50",,,
VDPT,Visillo,Pana Touch,-,42," $42,115.50",,,
VDLOC,Visillo,Lola Crush,-,20," $20,055.00",,,
VDAME,Visillo,Amelie,-,31," $31,085.25",,,
VDCHA,Visillo,Charo,-,44," $44,121.00",,,
VDLEON,Visillo,Leonor,-,30," $30,082.50",,,
VDMEL,Visillo,Melanie,-,49," $49,134.75",,,
VDLAR,Visillo,Larisa,-,17," $17,046.75",,,
VDVOH,Visillo,Voile de hilo,-,15," $15,041.25",,,
REFAC,Refaccion,-,-,5.00," $5,013.75",M2,,
RIEL,Riel Europeo,-,-,30.00," $30,082.50",Mts,,
BARRAL,Barral,-,-,65.00," $65,178.75",Mts,,
SOP7,Soporte L Simple,-,-,12.00," $12,033.00",Unidad,,
SOP9,Soporte L Doble,-,-,14.00," $14,038.50",Unidad,,
SOPDO,Soporte Doble Roller,-,-,28.00," $28,077.00",Unidad,,
MOTOR,Motor Roller,-,-,310.00," $310,852.50",Unidad,,
CTRL1,Control 1 canal,-,-,80.00," $80,220.00",Unidad,,
CTRL5,Control 4 canales,-,-,95.00," $95,261.25",Unidad,,
CTRL15,Control 15 canales,-,-,150.00," $150,412.50",Unidad,,
C38,Caño 38mm,-,-,13.50," $13,537.13",Mts,,
C45,Caño 45mm,-,-,22.80," $22,862.70",Mts,,
ZN3,Zocalo N3,-,-,12.60," $12,634.65",Mts,,
GLAT,Guia Lateral,-,-,32.00," $32,088.00",Mts,,
GINF,Guia Inferior,-,-,16.00," $16,044.00",Mts,,
SIST38,Sistema 38mm,-,-,17.00," $17,046.75",Unidad,,
SIST45,Sistema 45mm,-,-,30.00," $30,082.50",Unidad,,
SUP4,Suplemento 4cm,-,-,35.00," $35,096.25",Mts,,
SUP9,Suplemento 9cm,-,-,70.00," $70,192.50",Mts,,
APAÑ,Alza Paños,-,-,19.00," $19,052.25",Unidad,,
REFAC TELA,Refaccion Tela,-,-,52.50," $52,644.38",1 a 2,,
REFAC TELA,Refaccion Tela,-,-,68.25," $68,437.69",2 a 3 ,,
REFAC TELA,Refaccion Tela,-,-,78.75," $78,966.56",3 a 4,,
CADPVC,Cadena PVC,-,-,2.50," $2,506.88",Mts,,
CADMET,Cadena metalica,-,-,6.00," $6,016.50",Mts,,
SUP,Suplemento,-,-,7.00," $7,019.25",Unidad,,
BASTON,Baston,-,-,14.23," $14,269.13",Unidad,,
 PINFB,Peso inferior bandas,-,-,4.20," $4,211.55",Unidad,,
 CINFB,Cadena inferior bandas,-,-,2.60," $2,607.15",Mts,,
 ARGOLLAS,Argollas,-,-,3.00," $3,008.25",Unidad,,
SOPDB,Soporte Doble Barral,-,-,30.86," $30,944.87",Unidad,,
SOPEBAR,Soporte Extensible Barral,-,-,22.00," $22,060.50",Unidad,,
RIELM,Riel Motorizado,-,,,CONSULTAR,,,
VEN,Cortina Veneciana,-,,,CONSULTAR,,,
SOPEXTR,Soporte Extensible Roller,,,, $0.00,,,
SRIEL,Solo Riel,-,,30.00," $30,082.50",,,
,,,,, $0.00,,,
,,,,, $0.00,,,
,,,,, $0.00,,,
,,,,, $0.00,,,
,,,,, $0.00,,,
,,,,, $0.00,,,
,,,,, $0.00,,,
,,,,, $0.00,,,
,,,,, $0.00,,,
,,,,, $0.00,,,
